label,dataset,ablate,n_iters,acc_mean,std_ddof0,std_ddof1,official_eval_acc,official_eval_std,per_iter,exit_code,runtime_seconds,repo_commit,log
20260914_023321_ablate_beta_all0_Amazon-ratings_r10_pid344204,Amazon-ratings,beta_all0,10,50.23,0.28,0.29,50.23,0.28,50.51;50.01;50.33;50.73;50.22;49.91;50.55;50.17;50.01;49.89,0,1174,72ad3692916e,results/gbn/runs/20260914_023321_ablate_beta_all0_Amazon-ratings_r10_pid344204.log
20260914_025259_ablate_beta_all0_CS_r10_pid348207,CS,beta_all0,10,95.72,0.19,0.20,95.72,0.19,95.80;95.75;95.58;95.64;95.34;95.58;95.77;96.07;95.80;95.88,0,693,72ad3692916e,results/gbn/runs/20260914_025259_ablate_beta_all0_CS_r10_pid348207.log
20260914_023214_ablate_beta_all0_Texas_r10_pid343853,Texas,beta_all0,10,83.51,4.09,4.31,83.51,4.09,86.49;83.78;78.38;86.49;89.19;81.08;78.38;83.78;78.38;89.19,0,65,72ad3692916e,results/gbn/runs/20260914_023214_ablate_beta_all0_Texas_r10_pid343853.log
20260914_030435_ablate_beta_all0_WikiCS_r10_pid351414,WikiCS,beta_all0,10,85.01,0.65,0.69,85.01,0.66,85.13;84.83;85.81;84.91;84.19;84.19;85.51;85.17;84.19;86.15,0,1690,72ad3692916e,results/gbn/runs/20260914_030435_ablate_beta_all0_WikiCS_r10_pid351414.log
20260914_001454_ablate_gamma0_beta0_Amazon-ratings_r10_pid315191,Amazon-ratings,gamma0_beta0,10,42.66,2.11,2.22,42.66,2.11,42.04;36.78;44.47;42.99;43.25;44.37;44.11;42.54;42.59;43.44,0,925,72ad3692916e,results/gbn/runs/20260914_001454_ablate_gamma0_beta0_Amazon-ratings_r10_pid315191.log
20260914_003022_ablate_gamma0_beta0_CS_r10_pid318391,CS,gamma0_beta0,10,90.37,0.30,0.32,90.37,0.30,90.73;90.35;90.62;89.94;90.29;90.02;90.10;90.95;90.32;90.37,0,1121,72ad3692916e,results/gbn/runs/20260914_003022_ablate_gamma0_beta0_CS_r10_pid318391.log
20260914_001403_ablate_gamma0_beta0_Texas_r10_pid314399,Texas,gamma0_beta0,10,63.78,5.57,5.87,63.78,5.57,70.27;62.16;51.35;67.57;67.57;70.27;59.46;59.46;64.86;64.86,0,47,72ad3692916e,results/gbn/runs/20260914_001403_ablate_gamma0_beta0_Texas_r10_pid314399.log
20260914_004905_ablate_gamma0_beta0_WikiCS_r10_pid322228,WikiCS,gamma0_beta0,10,78.65,1.21,1.27,78.65,1.21,79.44;77.86;78.38;77.52;77.48;79.91;79.27;78.80;76.88;80.98,0,2462,72ad3692916e,results/gbn/runs/20260914_004905_ablate_gamma0_beta0_WikiCS_r10_pid322228.log
20260914_013104_ablate_gamma_all0_Amazon-ratings_r10_pid331173,Amazon-ratings,gamma_all0,10,41.62,0.53,0.56,41.62,0.53,40.99;42.02;42.14;41.12;41.35;40.72;41.83;42.50;41.66;41.86,0,545,72ad3692916e,results/gbn/runs/20260914_013104_ablate_gamma_all0_Amazon-ratings_r10_pid331173.log
20260914_014012_ablate_gamma_all0_CS_r10_pid333089,CS,gamma_all0,10,91.90,0.27,0.29,91.90,0.27,92.26;92.04;92.15;91.41;91.98;91.85;91.55;91.87;91.66;92.23,0,1010,72ad3692916e,results/gbn/runs/20260914_014012_ablate_gamma_all0_CS_r10_pid333089.log
20260914_013010_ablate_gamma_all0_Texas_r10_pid330855,Texas,gamma_all0,10,68.11,6.71,7.07,68.11,6.71,81.08;62.16;59.46;75.68;67.57;72.97;59.46;67.57;70.27;64.86,0,51,72ad3692916e,results/gbn/runs/20260914_013010_ablate_gamma_all0_Texas_r10_pid330855.log
20260914_015705_ablate_gamma_all0_WikiCS_r10_pid336575,WikiCS,gamma_all0,10,80.30,1.04,1.09,80.30,1.04,80.21;80.21;81.11;80.98;80.17;80.21;80.04;79.53;78.16;82.39,0,2106,72ad3692916e,results/gbn/runs/20260914_015705_ablate_gamma_all0_WikiCS_r10_pid336575.log
20260914_033334_ablate_gamma_beta_all0_Amazon-ratings_r10_pid357479,Amazon-ratings,gamma_beta_all0,10,44.00,0.45,0.47,44.00,0.45,44.86;43.80;44.60;43.59;44.44;43.75;43.98;43.88;43.69;43.41,0,981,72ad3692916e,results/gbn/runs/20260914_033334_ablate_gamma_beta_all0_Amazon-ratings_r10_pid357479.log
20260914_034958_ablate_gamma_beta_all0_CS_r10_pid361206,CS,gamma_beta_all0,10,91.21,0.38,0.40,91.21,0.38,91.63;91.08;91.68;91.06;91.57;91.44;91.00;91.41;90.51;90.70,0,1017,72ad3692916e,results/gbn/runs/20260914_034958_ablate_gamma_beta_all0_CS_r10_pid361206.log
20260914_033248_ablate_gamma_beta_all0_Texas_r10_pid357194,Texas,gamma_beta_all0,10,67.84,8.06,8.49,67.84,8.06,83.78;70.27;51.35;72.97;72.97;62.16;62.16;67.57;67.57;67.57,0,43,72ad3692916e,results/gbn/runs/20260914_033248_ablate_gamma_beta_all0_Texas_r10_pid357194.log
20260914_040658_ablate_gamma_beta_all0_WikiCS_r10_pid364736,WikiCS,gamma_beta_all0,10,79.65,0.71,0.75,79.65,0.72,79.57;80.04;79.70;79.36;78.89;80.09;80.13;79.53;78.21;80.98,0,2360,72ad3692916e,results/gbn/runs/20260914_040658_ablate_gamma_beta_all0_WikiCS_r10_pid364736.log
