dataset,split,acc
squirrel,0,44.49
squirrel,1,44.72
squirrel,2,44.72
squirrel,3,47.42
squirrel,4,42.47
squirrel,5,43.82
squirrel,6,44.04
squirrel,7,43.37
squirrel,8,45.84
squirrel,9,45.62
chameleon,0,51.69
chameleon,1,49.44
chameleon,2,42.13
chameleon,3,43.26
chameleon,4,54.49
chameleon,5,48.31
chameleon,6,55.06
chameleon,7,38.76
chameleon,8,47.75
chameleon,9,50.00
actor,0,39.08
actor,1,39.61
actor,2,38.95
actor,3,36.97
actor,4,40.00
actor,5,37.89
actor,6,39.93
actor,7,36.05
actor,8,37.50
actor,9,38.09
