ablate,seed,official_mrr,filtered_mrr,ap
none,0,0.921137,0.202563,0.991970
none,1,0.934858,0.199150,0.992110
none,2,0.899404,0.210344,0.990891
none,3,0.933187,0.201842,0.988777
none,4,0.923839,0.204256,0.991827
time,0,0.914352,0.201745,0.991727
time,1,0.836469,0.044439,0.987914
time,2,0.701731,0.020497,0.987089
time,3,0.844521,0.044231,0.985974
time,4,0.841317,0.050011,0.982255
topo,0,0.009901,0.012202,0.500000
topo,1,0.009901,0.012104,0.500000
topo,2,0.009901,0.012105,0.500000
topo,3,0.009901,0.012233,0.500000
topo,4,0.009901,0.012170,0.500000
hyper,0,0.827984,0.037459,0.983890
hyper,1,0.838739,0.053106,0.988293
hyper,2,0.832453,0.037602,0.983636
hyper,3,0.764420,0.026522,0.983276
hyper,4,0.752572,0.025254,0.988081
