run_id,dataset,seed,epochs_requested,last_epoch,variant,commit,patch_sha256,status,avg_mrr,avg_ap,avg_auc,avg_accuracy,runtime_seconds,paper_mrr,paper_std,delta_to_paper,log_file
20260910_213415,mooc,2023,1,0,smoke_unpatched,28ca94a06771c46073b650de3daa95e0939342ba,none,success,0.6247271678,0.9857572059,0.9906082116,0.9830360181,27.5887,0.931,0.009,-0.3062728322,results/scadyg/runs/20260910_213415_mooc_pid360254.log
20260910_213512,mooc,2023,100,21,official_unpatched,28ca94a06771c46073b650de3daa95e0939342ba,none,checkpoint_mismatch,0.0251696759,0.4018359527,0.0194182745,0.4999918988,344.0207,0.931,0.009,-0.9058303241,results/scadyg/runs/20260910_213512_mooc_pid360587.log
20260910_214335,mooc,2023,100,21,checkpoint_fix,28ca94a06771c46073b650de3daa95e0939342ba,5ce31e5275df2683438b11432c07f103169577b1061425c30312c265d9c6a0fc,success,0.9278109832,0.9917586456,0.9926879479,0.9842917092,344.3846,0.931,0.009,-0.0031890168,results/scadyg/runs/20260910_214335_mooc_pid362292.log
20260910_215051,mooc,0,100,29,checkpoint_fix,28ca94a06771c46073b650de3daa95e0939342ba,5ce31e5275df2683438b11432c07f103169577b1061425c30312c265d9c6a0fc,success,0.9181515654,0.9921871862,0.9929983184,0.9826633614,464.7843,0.931,0.009,-0.0128484346,results/scadyg/runs/20260910_215051_mooc_pid363733.log
20260910_215843,mooc,1,100,28,checkpoint_fix,28ca94a06771c46073b650de3daa95e0939342ba,5ce31e5275df2683438b11432c07f103169577b1061425c30312c265d9c6a0fc,success,0.9153596629,0.9917049655,0.9922072818,0.9828091836,445.6363,0.931,0.009,-0.0156403371,results/scadyg/runs/20260910_215843_mooc_pid365199.log
20260910_220706,mooc,2,100,24,checkpoint_fix,28ca94a06771c46073b650de3daa95e0939342ba,5ce31e5275df2683438b11432c07f103169577b1061425c30312c265d9c6a0fc,success,0.8994035915,0.9908907952,0.9913053419,0.9803950161,390.6930,0.931,0.009,-0.0315964085,results/scadyg/runs/20260910_220706_mooc_pid366855.log
20260910_221344,mooc,3,100,15,checkpoint_fix,28ca94a06771c46073b650de3daa95e0939342ba,5ce31e5275df2683438b11432c07f103169577b1061425c30312c265d9c6a0fc,success,0.9186366037,0.9908888838,0.9913504283,0.9821529837,252.1915,0.931,0.009,-0.0123633963,results/scadyg/runs/20260910_221344_mooc_pid368110.log
20260910_221804,mooc,4,100,23,checkpoint_fix,28ca94a06771c46073b650de3daa95e0939342ba,5ce31e5275df2683438b11432c07f103169577b1061425c30312c265d9c6a0fc,success,0.9238385571,0.9918274609,0.9928804498,0.9845104425,381.8712,0.931,0.009,-0.0071614429,results/scadyg/runs/20260910_221804_mooc_pid368975.log
20260910_224916,mooc,1,100,39,mrr_selection,28ca94a06771c46073b650de3daa95e0939342ba,0ec53530a474b13f3b89cb277fdee9fcd724a6ec0431508f3013b9bc96eb9205,success,0.9348580755,0.9921101431,0.9939192604,0.9858471459,616.6240,0.931,0.009,0.0038580755,results/scadyg/runs/20260910_224916_mooc_pid379081.log
20260910_230021,mooc,0,100,31,mrr_selection,28ca94a06771c46073b650de3daa95e0939342ba,0ec53530a474b13f3b89cb277fdee9fcd724a6ec0431508f3013b9bc96eb9205,success,0.9211367569,0.9919698115,0.9935501024,0.9819099467,497.2470,0.931,0.009,-0.0098632431,results/scadyg/runs/20260910_230021_mooc_pid381959.log
20260910_230845,mooc,2,100,24,mrr_selection,28ca94a06771c46073b650de3daa95e0939342ba,0ec53530a474b13f3b89cb277fdee9fcd724a6ec0431508f3013b9bc96eb9205,success,0.8994035915,0.9908907952,0.9913053419,0.9803950161,388.9058,0.931,0.009,-0.0315964085,results/scadyg/runs/20260910_230845_mooc_pid384115.log
20260910_231521,mooc,3,100,19,mrr_selection,28ca94a06771c46073b650de3daa95e0939342ba,0ec53530a474b13f3b89cb277fdee9fcd724a6ec0431508f3013b9bc96eb9205,success,0.9331872324,0.9887769000,0.9873572174,0.9810836209,315.5041,0.931,0.009,0.0021872324,results/scadyg/runs/20260910_231521_mooc_pid385837.log
20260910_232044,mooc,4,100,23,mrr_selection,28ca94a06771c46073b650de3daa95e0939342ba,0ec53530a474b13f3b89cb277fdee9fcd724a6ec0431508f3013b9bc96eb9205,success,0.9238385571,0.9918274609,0.9928804498,0.9845104425,374.4053,0.931,0.009,-0.0071614429,results/scadyg/runs/20260910_232044_mooc_pid387268.log
