log,run_id,dataset,commit,patch,split,seed,spec,epochs_printed,last_epoch,early_stop_epoch,best_val,val_selected_epoch,val_selected_test,val_selected_last_epoch,val_selected_last,oracle_best_test,last_printed_test,runtime_seconds,exit_code
results/sgpc/runs/20260912_195418_webkb_s0_s0_Actor_pid137138.log,20260912_195418_webkb_s0_s0_Actor_pid137138,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,0,0,dense,39,1030,1030,38.36,29,38.29,31,37.96,38.82,34.47,1217,0
results/sgpc/runs/20260912_201440_webkb_s0_s1_Actor_pid144555.log,20260912_201440_webkb_s0_s1_Actor_pid144555,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,1,0,dense,45,1030,1030,38.69,29,35.79,29,35.79,36.32,33.16,1213,0
results/sgpc/runs/20260912_203456_webkb_s0_s2_Actor_pid149691.log,20260912_203456_webkb_s0_s2_Actor_pid149691,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,2,0,dense,41,1027,1027,39.14,26,36.38,26,36.38,36.45,33.62,1199,0
results/sgpc/runs/20260912_205459_webkb_s0_s3_Actor_pid152258.log,20260912_205459_webkb_s0_s3_Actor_pid152258,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,3,0,dense,38,1024,1024,38.65,23,35.0,23,35.0,36.32,34.8,1195,0
results/sgpc/runs/20260912_211457_webkb_s0_s4_Actor_pid155397.log,20260912_211457_webkb_s0_s4_Actor_pid155397,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,4,0,dense,46,1036,1036,38.53,35,35.33,35,35.33,36.91,34.08,1214,0
results/sgpc/runs/20260912_213515_webkb_s0_s5_Actor_pid157995.log,20260912_213515_webkb_s0_s5_Actor_pid157995,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,5,0,dense,45,1026,1026,36.8,25,37.57,37,36.51,37.57,36.38,1198,0
results/sgpc/runs/20260912_215517_webkb_s0_s6_Actor_pid160585.log,20260912_215517_webkb_s0_s6_Actor_pid160585,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,6,0,dense,41,1035,1035,39.1,34,34.87,34,34.87,36.45,33.55,1226,0
results/sgpc/runs/20260912_221547_webkb_s0_s7_Actor_pid163198.log,20260912_221547_webkb_s0_s7_Actor_pid163198,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,7,0,dense,35,1028,1028,37.09,27,35.66,27,35.66,37.83,34.87,1201,0
results/sgpc/runs/20260912_223552_webkb_s0_s8_Actor_pid165773.log,20260912_223552_webkb_s0_s8_Actor_pid165773,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,8,0,dense,41,1026,1026,37.09,25,34.93,25,34.93,36.45,33.75,1198,0
results/sgpc/runs/20260912_225554_webkb_s0_s9_Actor_pid168340.log,20260912_225554_webkb_s0_s9_Actor_pid168340,Actor data_id=5 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,9,0,dense,39,1029,1029,36.76,28,37.43,28,37.43,38.16,34.74,1203,0
