log,run_id,dataset,commit,patch,split,seed,spec,epochs_printed,last_epoch,early_stop_epoch,best_val,val_selected_epoch,val_selected_test,val_selected_last_epoch,val_selected_last,oracle_best_test,last_printed_test,runtime_seconds,exit_code
/home/lab_user/project/lzc/results/sgpc/runs/20260912_165117_webkb_s0_s0_Chameleon_pid54111.log,20260912_165117_webkb_s0_s0_Chameleon_pid54111,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,0,dense,30,1019,1019,53.91,18,50.44,19,50.0,50.88,44.52,113,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_165313_webkb_s0_s1_Chameleon_pid54982.log,20260912_165313_webkb_s0_s1_Chameleon_pid54982,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,1,0,dense,36,1024,1024,49.93,23,51.97,24,51.75,53.51,46.05,114,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_165510_webkb_s0_s2_Chameleon_pid55826.log,20260912_165510_webkb_s0_s2_Chameleon_pid55826,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,2,0,dense,39,1024,1024,50.62,23,49.12,23,49.12,50.22,48.46,113,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_165707_webkb_s0_s3_Chameleon_pid56851.log,20260912_165707_webkb_s0_s3_Chameleon_pid56851,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,3,0,dense,37,1022,1022,50.34,21,55.26,21,55.26,56.36,51.97,113,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_165904_webkb_s0_s4_Chameleon_pid57735.log,20260912_165904_webkb_s0_s4_Chameleon_pid57735,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,4,0,dense,36,1023,1023,52.13,22,54.17,22,54.17,54.61,47.15,113,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_170101_webkb_s0_s5_Chameleon_pid58597.log,20260912_170101_webkb_s0_s5_Chameleon_pid58597,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,5,0,dense,36,1021,1021,52.26,20,52.63,20,52.63,53.95,47.59,113,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_170258_webkb_s0_s6_Chameleon_pid59453.log,20260912_170258_webkb_s0_s6_Chameleon_pid59453,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,6,0,dense,35,1021,1021,51.99,20,49.12,20,49.12,50.0,44.52,113,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_170454_webkb_s0_s7_Chameleon_pid60287.log,20260912_170454_webkb_s0_s7_Chameleon_pid60287,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,7,0,dense,30,1020,1020,51.99,19,53.51,19,53.51,53.51,46.27,112,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_170650_webkb_s0_s8_Chameleon_pid61214.log,20260912_170650_webkb_s0_s8_Chameleon_pid61214,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,8,0,dense,32,1017,1017,51.85,16,51.32,16,51.32,52.41,46.27,112,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_170846_webkb_s0_s9_Chameleon_pid62068.log,20260912_170846_webkb_s0_s9_Chameleon_pid62068,Chameleon data_id=3 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,9,0,dense,36,1021,1021,52.81,20,51.54,20,51.54,52.85,45.18,113,0
