[repro] started_at=2026-09-12T14:51:07+08:00
[repro] run_id=20260912_145107_official_Cornell_pid8636
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch=none
[repro] main_py_sha256=9f852918f355839c1b26a966d88eb5beb9c0d7479cc2f7483f4fc67253a637c3
[repro] dataset=Cornell data_id=6 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Cornell -> /home/lab_user/project/lzc/repro/sgpc/data/Cornell
[repro] command=python main.py 6 
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
Epoch 0001 | Loss: 1.6097 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0002 | Loss: 1.4541 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0003 | Loss: 1.3345 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0004 | Loss: 1.2912 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0005 | Loss: 1.2786 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0006 | Loss: 1.1647 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0007 | Loss: 1.1643 | Val: 0.6102 | Test: 0.5135 | Best Test: 0.5135
Epoch 0008 | Loss: 1.0406 | Val: 0.6780 | Test: 0.5946 | Best Test: 0.5946
Epoch 0009 | Loss: 1.0279 | Val: 0.7627 | Test: 0.7027 | Best Test: 0.7027
Epoch 0010 | Loss: 0.9720 | Val: 0.7966 | Test: 0.7027 | Best Test: 0.7027
Epoch 0011 | Loss: 0.9010 | Val: 0.7966 | Test: 0.7568 | Best Test: 0.7568
Epoch 0012 | Loss: 0.8095 | Val: 0.7966 | Test: 0.7838 | Best Test: 0.7838
Epoch 0013 | Loss: 0.8026 | Val: 0.7966 | Test: 0.7838 | Best Test: 0.7838
Epoch 0020 | Loss: 0.4354 | Val: 0.7966 | Test: 0.7838 | Best Test: 0.7838
Epoch 0021 | Loss: 0.4098 | Val: 0.8136 | Test: 0.8108 | Best Test: 0.8108
Epoch 0022 | Loss: 0.3592 | Val: 0.8136 | Test: 0.8108 | Best Test: 0.8108
Epoch 0023 | Loss: 0.2860 | Val: 0.8136 | Test: 0.8108 | Best Test: 0.8108
Epoch 0024 | Loss: 0.2622 | Val: 0.8136 | Test: 0.8108 | Best Test: 0.8108
Epoch 0025 | Loss: 0.2121 | Val: 0.8136 | Test: 0.8108 | Best Test: 0.8108
Epoch 0026 | Loss: 0.1847 | Val: 0.8305 | Test: 0.8108 | Best Test: 0.8108
Epoch 0027 | Loss: 0.2013 | Val: 0.8305 | Test: 0.8108 | Best Test: 0.8108
Epoch 0028 | Loss: 0.1606 | Val: 0.8305 | Test: 0.8108 | Best Test: 0.8108
Epoch 0029 | Loss: 0.1513 | Val: 0.8305 | Test: 0.8108 | Best Test: 0.8108
Epoch 0030 | Loss: 0.1492 | Val: 0.8305 | Test: 0.8108 | Best Test: 0.8108
Epoch 0031 | Loss: 0.1016 | Val: 0.8305 | Test: 0.8108 | Best Test: 0.8108
Epoch 0032 | Loss: 0.1042 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0033 | Loss: 0.0813 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0034 | Loss: 0.0752 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0035 | Loss: 0.0587 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0036 | Loss: 0.0616 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0037 | Loss: 0.0528 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0038 | Loss: 0.0614 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0039 | Loss: 0.0435 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0050 | Loss: 0.0193 | Val: 0.8305 | Test: 0.8108 | Best Test: 0.8108
Epoch 0054 | Loss: 0.0140 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0055 | Loss: 0.0119 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0056 | Loss: 0.0145 | Val: 0.8475 | Test: 0.8108 | Best Test: 0.8108
Epoch 0057 | Loss: 0.0162 | Val: 0.8644 | Test: 0.8108 | Best Test: 0.8108
Epoch 0058 | Loss: 0.0235 | Val: 0.8644 | Test: 0.8108 | Best Test: 0.8108
