[repro] started_at=2026-09-12T14:52:22+08:00
[repro] run_id=20260912_145222_official_Texas_pid9144
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch=none
[repro] main_py_sha256=9f852918f355839c1b26a966d88eb5beb9c0d7479cc2f7483f4fc67253a637c3
[repro] dataset=Texas data_id=7 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Texas -> /home/lab_user/project/lzc/repro/sgpc/data/Texas
[repro] command=python main.py 7 
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
Epoch 0001 | Loss: 1.5478 | Val: 0.5254 | Test: 0.6757 | Best Test: 0.6757
Epoch 0002 | Loss: 1.2728 | Val: 0.5254 | Test: 0.6757 | Best Test: 0.6757
Epoch 0003 | Loss: 1.1375 | Val: 0.5254 | Test: 0.6757 | Best Test: 0.6757
Epoch 0004 | Loss: 1.1034 | Val: 0.5254 | Test: 0.6757 | Best Test: 0.6757
Epoch 0005 | Loss: 1.0059 | Val: 0.5254 | Test: 0.6757 | Best Test: 0.6757
Epoch 0006 | Loss: 1.0057 | Val: 0.5254 | Test: 0.6757 | Best Test: 0.6757
Epoch 0007 | Loss: 0.9447 | Val: 0.5254 | Test: 0.6757 | Best Test: 0.6757
Epoch 0008 | Loss: 0.8520 | Val: 0.5424 | Test: 0.7297 | Best Test: 0.7297
Epoch 0009 | Loss: 0.7933 | Val: 0.6102 | Test: 0.7568 | Best Test: 0.7568
Epoch 0010 | Loss: 0.7817 | Val: 0.6949 | Test: 0.8108 | Best Test: 0.8108
Epoch 0011 | Loss: 0.7117 | Val: 0.7288 | Test: 0.8108 | Best Test: 0.8108
Epoch 0012 | Loss: 0.6748 | Val: 0.7288 | Test: 0.8108 | Best Test: 0.8108
Epoch 0013 | Loss: 0.5830 | Val: 0.7288 | Test: 0.8108 | Best Test: 0.8108
Epoch 0014 | Loss: 0.5326 | Val: 0.7288 | Test: 0.8108 | Best Test: 0.8108
Epoch 0015 | Loss: 0.4709 | Val: 0.7288 | Test: 0.8108 | Best Test: 0.8108
Epoch 0016 | Loss: 0.4390 | Val: 0.7288 | Test: 0.8108 | Best Test: 0.8108
Epoch 0017 | Loss: 0.3778 | Val: 0.7458 | Test: 0.8108 | Best Test: 0.8108
Epoch 0018 | Loss: 0.3450 | Val: 0.7627 | Test: 0.8108 | Best Test: 0.8108
Epoch 0019 | Loss: 0.3259 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8108
Epoch 0020 | Loss: 0.2661 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0021 | Loss: 0.2241 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0050 | Loss: 0.0125 | Val: 0.7627 | Test: 0.8108 | Best Test: 0.8378
Epoch 0100 | Loss: 0.0033 | Val: 0.7627 | Test: 0.8108 | Best Test: 0.8378
Epoch 0150 | Loss: 0.0027 | Val: 0.7458 | Test: 0.8108 | Best Test: 0.8378
Epoch 0200 | Loss: 0.0049 | Val: 0.7627 | Test: 0.8108 | Best Test: 0.8378
Epoch 0243 | Loss: 0.0024 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0244 | Loss: 0.0019 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0245 | Loss: 0.0023 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0246 | Loss: 0.0018 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0247 | Loss: 0.0019 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0248 | Loss: 0.0018 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0249 | Loss: 0.0041 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0250 | Loss: 0.0021 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0251 | Loss: 0.0021 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0252 | Loss: 0.0033 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0253 | Loss: 0.0040 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0254 | Loss: 0.0027 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0255 | Loss: 0.0025 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0256 | Loss: 0.0031 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0257 | Loss: 0.0033 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0258 | Loss: 0.0037 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0259 | Loss: 0.0035 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0260 | Loss: 0.0032 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0261 | Loss: 0.0021 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0262 | Loss: 0.0038 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0263 | Loss: 0.0044 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0264 | Loss: 0.0039 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0265 | Loss: 0.0024 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0266 | Loss: 0.0053 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0267 | Loss: 0.0023 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0268 | Loss: 0.0014 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0269 | Loss: 0.0021 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0270 | Loss: 0.0039 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0271 | Loss: 0.0036 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0272 | Loss: 0.0040 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0273 | Loss: 0.0028 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0274 | Loss: 0.0066 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0275 | Loss: 0.0021 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0276 | Loss: 0.0024 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0277 | Loss: 0.0044 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0278 | Loss: 0.0021 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0279 | Loss: 0.0029 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0280 | Loss: 0.0041 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0281 | Loss: 0.0032 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0282 | Loss: 0.0024 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0283 | Loss: 0.0019 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0284 | Loss: 0.0042 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0285 | Loss: 0.0040 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0286 | Loss: 0.0025 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0287 | Loss: 0.0020 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0288 | Loss: 0.0016 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0289 | Loss: 0.0049 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0290 | Loss: 0.0045 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0291 | Loss: 0.0026 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0292 | Loss: 0.0035 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0293 | Loss: 0.0023 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0294 | Loss: 0.0043 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0295 | Loss: 0.0024 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0296 | Loss: 0.0034 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0297 | Loss: 0.0027 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0298 | Loss: 0.0031 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0299 | Loss: 0.0080 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0300 | Loss: 0.0024 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0301 | Loss: 0.0198 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0302 | Loss: 0.0185 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0303 | Loss: 0.0185 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0304 | Loss: 0.0188 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0305 | Loss: 0.0178 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0306 | Loss: 0.0189 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0307 | Loss: 0.0224 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0308 | Loss: 0.0193 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0309 | Loss: 0.0199 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0310 | Loss: 0.0185 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0311 | Loss: 0.0241 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0312 | Loss: 0.0178 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0313 | Loss: 0.0183 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0314 | Loss: 0.0182 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0315 | Loss: 0.0184 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0316 | Loss: 0.0189 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0317 | Loss: 0.0181 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0318 | Loss: 0.0178 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0319 | Loss: 0.0180 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0320 | Loss: 0.0178 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0321 | Loss: 0.0184 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
