[repro] started_at=2026-09-12T14:54:07+08:00
[repro] run_id=20260912_145407_official_Wisconsin_pid9725
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch=none
[repro] main_py_sha256=9f852918f355839c1b26a966d88eb5beb9c0d7479cc2f7483f4fc67253a637c3
[repro] dataset=Wisconsin data_id=8 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Wisconsin -> /home/lab_user/project/lzc/repro/sgpc/data/Wisconsin
[repro] command=python main.py 8 
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
Epoch 0001 | Loss: 1.6541 | Val: 0.5125 | Test: 0.5294 | Best Test: 0.5294
Epoch 0002 | Loss: 1.4041 | Val: 0.5375 | Test: 0.5294 | Best Test: 0.5294
Epoch 0003 | Loss: 1.2634 | Val: 0.5375 | Test: 0.5294 | Best Test: 0.5294
Epoch 0004 | Loss: 1.2145 | Val: 0.5625 | Test: 0.5686 | Best Test: 0.5686
Epoch 0005 | Loss: 1.1265 | Val: 0.6375 | Test: 0.6667 | Best Test: 0.6667
Epoch 0006 | Loss: 1.0388 | Val: 0.6750 | Test: 0.7451 | Best Test: 0.7451
Epoch 0007 | Loss: 1.0215 | Val: 0.6875 | Test: 0.7647 | Best Test: 0.7647
Epoch 0008 | Loss: 0.9385 | Val: 0.7375 | Test: 0.7647 | Best Test: 0.7647
Epoch 0009 | Loss: 0.8486 | Val: 0.7500 | Test: 0.7843 | Best Test: 0.7843
Epoch 0010 | Loss: 0.7721 | Val: 0.7875 | Test: 0.7843 | Best Test: 0.7843
Epoch 0011 | Loss: 0.7496 | Val: 0.8000 | Test: 0.7843 | Best Test: 0.7843
Epoch 0012 | Loss: 0.6437 | Val: 0.8000 | Test: 0.7843 | Best Test: 0.7843
Epoch 0013 | Loss: 0.6304 | Val: 0.8000 | Test: 0.7843 | Best Test: 0.7843
Epoch 0014 | Loss: 0.5693 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8039
Epoch 0015 | Loss: 0.5407 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8039
Epoch 0018 | Loss: 0.4153 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8039
Epoch 0019 | Loss: 0.3996 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8039
