[repro] started_at=2026-09-12T15:47:12+08:00
[repro] run_id=20260912_154712_official_cap85_Citeseer_pid24464
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch=none
[repro] main_py_sha256=9f852918f355839c1b26a966d88eb5beb9c0d7479cc2f7483f4fc67253a637c3
[repro] dataset=Citeseer data_id=1 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Citeseer -> /home/lab_user/project/lzc/repro/sgpc/data/Citeseer
[repro] command=python main.py 1 
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p24544-i66957.scope; invocation ID: e3a24777adc4440abeb5ab7e858a5e46
Epoch 0001 | Loss: 2.3598 | Val: 0.2100 | Test: 0.2290 | Best Test: 0.2290
Epoch 0015 | Loss: 1.8316 | Val: 0.2600 | Test: 0.2620 | Best Test: 0.2620
Epoch 0016 | Loss: 2.0967 | Val: 0.2640 | Test: 0.2520 | Best Test: 0.2620
Epoch 0020 | Loss: 1.9512 | Val: 0.2760 | Test: 0.2640 | Best Test: 0.2640
Epoch 0021 | Loss: 1.9444 | Val: 0.3280 | Test: 0.3140 | Best Test: 0.3140
Epoch 0047 | Loss: 2.0091 | Val: 0.3280 | Test: 0.2930 | Best Test: 0.3140
Epoch 0048 | Loss: 1.8826 | Val: 0.3520 | Test: 0.3060 | Best Test: 0.3140
Epoch 0050 | Loss: 1.8714 | Val: 0.2600 | Test: 0.2560 | Best Test: 0.3140
Epoch 0059 | Loss: 1.8871 | Val: 0.3720 | Test: 0.3640 | Best Test: 0.3640
Epoch 0060 | Loss: 1.8604 | Val: 0.5340 | Test: 0.5140 | Best Test: 0.5140
Epoch 0061 | Loss: 1.9466 | Val: 0.5540 | Test: 0.5370 | Best Test: 0.5370
Epoch 0098 | Loss: 1.6691 | Val: 0.5540 | Test: 0.5160 | Best Test: 0.5370
Epoch 0100 | Loss: 1.7844 | Val: 0.5200 | Test: 0.5250 | Best Test: 0.5370
Epoch 0101 | Loss: 1.7082 | Val: 0.5540 | Test: 0.5560 | Best Test: 0.5560
Epoch 0103 | Loss: 1.6218 | Val: 0.5620 | Test: 0.5700 | Best Test: 0.5700
Epoch 0104 | Loss: 1.6216 | Val: 0.6120 | Test: 0.6010 | Best Test: 0.6010
Epoch 0105 | Loss: 1.6519 | Val: 0.6340 | Test: 0.5950 | Best Test: 0.6010
Epoch 0111 | Loss: 1.3823 | Val: 0.6840 | Test: 0.6990 | Best Test: 0.6990
Epoch 0112 | Loss: 1.3391 | Val: 0.7220 | Test: 0.7330 | Best Test: 0.7330
Epoch 0150 | Loss: 0.6647 | Val: 0.6820 | Test: 0.7010 | Best Test: 0.7330
Epoch 0200 | Loss: 0.5543 | Val: 0.7040 | Test: 0.6960 | Best Test: 0.7330
Epoch 0250 | Loss: 0.4960 | Val: 0.6760 | Test: 0.6710 | Best Test: 0.7330
Epoch 0300 | Loss: 0.5050 | Val: 0.6980 | Test: 0.6960 | Best Test: 0.7330
Epoch 0350 | Loss: 0.4301 | Val: 0.6900 | Test: 0.6970 | Best Test: 0.7330
Epoch 0400 | Loss: 0.5022 | Val: 0.6900 | Test: 0.6880 | Best Test: 0.7330
Epoch 0450 | Loss: 0.4350 | Val: 0.6860 | Test: 0.6930 | Best Test: 0.7330
Epoch 0500 | Loss: 0.5620 | Val: 0.6800 | Test: 0.6900 | Best Test: 0.7330
Epoch 0550 | Loss: 0.4795 | Val: 0.6880 | Test: 0.6910 | Best Test: 0.7330
Epoch 0600 | Loss: 0.4927 | Val: 0.6900 | Test: 0.6950 | Best Test: 0.7330
Epoch 0650 | Loss: 0.3574 | Val: 0.6800 | Test: 0.6920 | Best Test: 0.7330
Epoch 0700 | Loss: 0.4352 | Val: 0.6900 | Test: 0.6940 | Best Test: 0.7330
Epoch 0750 | Loss: 0.3833 | Val: 0.6840 | Test: 0.6930 | Best Test: 0.7330
Epoch 0800 | Loss: 0.4390 | Val: 0.6880 | Test: 0.6860 | Best Test: 0.7330
Epoch 0850 | Loss: 0.4987 | Val: 0.6840 | Test: 0.6950 | Best Test: 0.7330
Epoch 0900 | Loss: 0.4672 | Val: 0.6800 | Test: 0.6850 | Best Test: 0.7330
Epoch 0950 | Loss: 0.4825 | Val: 0.6840 | Test: 0.6920 | Best Test: 0.7330
Epoch 1000 | Loss: 0.4023 | Val: 0.6900 | Test: 0.6930 | Best Test: 0.7330
Epoch 1050 | Loss: 0.5203 | Val: 0.6840 | Test: 0.6900 | Best Test: 0.7330
Epoch 1100 | Loss: 0.4098 | Val: 0.6820 | Test: 0.6920 | Best Test: 0.7330
Early stopping at epoch 1113
[repro] exit_code=0
[repro] runtime_seconds=210
[repro] finished_at=2026-09-12T15:50:45+08:00
