[repro] started_at=2026-09-12T16:31:30+08:00
[repro] run_id=20260912_163130_proto_default_Cornell_pid43004
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Cornell data_id=6 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Cornell -> /home/lab_user/project/lzc/repro/sgpc/data/Cornell
[repro] command=python main.py 6 
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p43087-i42212.scope; invocation ID: 74f4dd832f374323a9dee7fba4905647
[sgpc] config data_id=6 split=0 n_splits=10 seed=None spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6945 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0002 | Loss: 1.4533 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0003 | Loss: 1.3712 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0004 | Loss: 1.3339 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4054
Epoch 0005 | Loss: 1.2481 | Val: 0.5254 | Test: 0.4324 | Best Test: 0.4324
Epoch 0006 | Loss: 1.2325 | Val: 0.5254 | Test: 0.4054 | Best Test: 0.4324
Epoch 0007 | Loss: 1.1412 | Val: 0.5763 | Test: 0.5135 | Best Test: 0.5135
Epoch 0008 | Loss: 1.1041 | Val: 0.6949 | Test: 0.6486 | Best Test: 0.6486
Epoch 0009 | Loss: 1.0584 | Val: 0.7627 | Test: 0.6757 | Best Test: 0.6757
Epoch 0010 | Loss: 0.9853 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0011 | Loss: 0.8648 | Val: 0.7966 | Test: 0.7838 | Best Test: 0.7838
Epoch 0012 | Loss: 0.8358 | Val: 0.7966 | Test: 0.7568 | Best Test: 0.7838
Epoch 0013 | Loss: 0.7965 | Val: 0.7966 | Test: 0.7838 | Best Test: 0.7838
Epoch 0020 | Loss: 0.4689 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0021 | Loss: 0.3989 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0022 | Loss: 0.3303 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0023 | Loss: 0.3067 | Val: 0.7966 | Test: 0.7838 | Best Test: 0.8108
Epoch 0024 | Loss: 0.2850 | Val: 0.8305 | Test: 0.7838 | Best Test: 0.8108
Epoch 0025 | Loss: 0.2330 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0026 | Loss: 0.2300 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0027 | Loss: 0.2186 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0028 | Loss: 0.1710 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0029 | Loss: 0.1420 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0044 | Loss: 0.0348 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0045 | Loss: 0.0337 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0046 | Loss: 0.0207 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0047 | Loss: 0.0271 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0048 | Loss: 0.0216 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0049 | Loss: 0.0224 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0050 | Loss: 0.0243 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0051 | Loss: 0.0190 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0052 | Loss: 0.0237 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0053 | Loss: 0.0287 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0087 | Loss: 0.0073 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0088 | Loss: 0.0055 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0089 | Loss: 0.0068 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0090 | Loss: 0.0090 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0091 | Loss: 0.0110 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0092 | Loss: 0.0083 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0093 | Loss: 0.0047 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0094 | Loss: 0.0107 | Val: 0.8644 | Test: 0.7838 | Best Test: 0.8108
Epoch 0100 | Loss: 0.0046 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0150 | Loss: 0.0034 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
Epoch 0200 | Loss: 0.0036 | Val: 0.8475 | Test: 0.7838 | Best Test: 0.8108
