[repro] started_at=2026-09-12T16:33:16+08:00
[repro] run_id=20260912_163316_webkb_s0_s1_Cornell_pid44144
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Cornell data_id=6 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Cornell -> /home/lab_user/project/lzc/repro/sgpc/data/Cornell
[repro] command=python main.py 6 --split 1 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p44219-i59735.scope; invocation ID: fc594d18621a421689d86f510c7d11e4
[sgpc] config data_id=6 split=1 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6556 | Val: 0.5085 | Test: 0.4324 | Best Test: 0.4324
Epoch 0002 | Loss: 1.4366 | Val: 0.5085 | Test: 0.4324 | Best Test: 0.4324
Epoch 0003 | Loss: 1.3551 | Val: 0.5085 | Test: 0.4324 | Best Test: 0.4324
Epoch 0004 | Loss: 1.2967 | Val: 0.5085 | Test: 0.4324 | Best Test: 0.4324
Epoch 0005 | Loss: 1.2064 | Val: 0.5085 | Test: 0.4324 | Best Test: 0.4324
Epoch 0006 | Loss: 1.1357 | Val: 0.5424 | Test: 0.4324 | Best Test: 0.4324
Epoch 0007 | Loss: 1.1367 | Val: 0.6271 | Test: 0.4865 | Best Test: 0.4865
Epoch 0008 | Loss: 1.0423 | Val: 0.7458 | Test: 0.5946 | Best Test: 0.5946
Epoch 0009 | Loss: 0.9662 | Val: 0.7458 | Test: 0.6757 | Best Test: 0.6757
Epoch 0013 | Loss: 0.7317 | Val: 0.7458 | Test: 0.7027 | Best Test: 0.7568
Epoch 0014 | Loss: 0.6920 | Val: 0.7458 | Test: 0.7027 | Best Test: 0.7568
Epoch 0015 | Loss: 0.5916 | Val: 0.7458 | Test: 0.7027 | Best Test: 0.7568
Epoch 0016 | Loss: 0.5695 | Val: 0.7458 | Test: 0.7027 | Best Test: 0.7568
Epoch 0017 | Loss: 0.5024 | Val: 0.7458 | Test: 0.7027 | Best Test: 0.7568
Epoch 0018 | Loss: 0.4469 | Val: 0.7458 | Test: 0.7027 | Best Test: 0.7568
Epoch 0019 | Loss: 0.4108 | Val: 0.7458 | Test: 0.7568 | Best Test: 0.7568
Epoch 0020 | Loss: 0.4338 | Val: 0.7458 | Test: 0.7568 | Best Test: 0.7568
Epoch 0021 | Loss: 0.3393 | Val: 0.7458 | Test: 0.7568 | Best Test: 0.7568
Epoch 0033 | Loss: 0.0877 | Val: 0.7458 | Test: 0.8108 | Best Test: 0.8108
Epoch 0034 | Loss: 0.0949 | Val: 0.7458 | Test: 0.8108 | Best Test: 0.8108
Epoch 0035 | Loss: 0.0644 | Val: 0.7627 | Test: 0.8108 | Best Test: 0.8108
Epoch 0036 | Loss: 0.0673 | Val: 0.7627 | Test: 0.8378 | Best Test: 0.8378
Epoch 0037 | Loss: 0.0815 | Val: 0.7627 | Test: 0.8378 | Best Test: 0.8378
Epoch 0038 | Loss: 0.0510 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0039 | Loss: 0.0495 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0050 | Loss: 0.0320 | Val: 0.7627 | Test: 0.8378 | Best Test: 0.8378
Epoch 0060 | Loss: 0.0164 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0061 | Loss: 0.0156 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0062 | Loss: 0.0073 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0063 | Loss: 0.0124 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0064 | Loss: 0.0111 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0065 | Loss: 0.0118 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0066 | Loss: 0.0150 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0067 | Loss: 0.0197 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0068 | Loss: 0.0210 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0069 | Loss: 0.0110 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0070 | Loss: 0.0093 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8378
Epoch 0071 | Loss: 0.0102 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0072 | Loss: 0.0078 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0073 | Loss: 0.0068 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0074 | Loss: 0.0061 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0075 | Loss: 0.0102 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0076 | Loss: 0.0056 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0077 | Loss: 0.0135 | Val: 0.7797 | Test: 0.8378 | Best Test: 0.8378
Epoch 0100 | Loss: 0.0088 | Val: 0.7458 | Test: 0.8378 | Best Test: 0.8378
Epoch 0150 | Loss: 0.0049 | Val: 0.7627 | Test: 0.8378 | Best Test: 0.8378
Epoch 0200 | Loss: 0.0038 | Val: 0.7458 | Test: 0.8378 | Best Test: 0.8378
