[repro] started_at=2026-09-12T16:35:29+08:00
[repro] run_id=20260912_163529_webkb_s0_s5_Cornell_pid45343
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Cornell data_id=6 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Cornell -> /home/lab_user/project/lzc/repro/sgpc/data/Cornell
[repro] command=python main.py 6 --split 5 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p45420-i17634.scope; invocation ID: 5c1d8912dc1e417cbb17fd88e2621e12
[sgpc] config data_id=6 split=5 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6788 | Val: 0.4068 | Test: 0.4595 | Best Test: 0.4595
Epoch 0002 | Loss: 1.4183 | Val: 0.4068 | Test: 0.4595 | Best Test: 0.4595
Epoch 0003 | Loss: 1.3214 | Val: 0.4068 | Test: 0.4595 | Best Test: 0.4595
Epoch 0004 | Loss: 1.2788 | Val: 0.4068 | Test: 0.4595 | Best Test: 0.4595
Epoch 0005 | Loss: 1.1819 | Val: 0.4068 | Test: 0.4595 | Best Test: 0.4595
Epoch 0006 | Loss: 1.1783 | Val: 0.4068 | Test: 0.4595 | Best Test: 0.4595
Epoch 0007 | Loss: 1.1041 | Val: 0.4576 | Test: 0.4595 | Best Test: 0.4595
Epoch 0008 | Loss: 1.0583 | Val: 0.5593 | Test: 0.5676 | Best Test: 0.5676
Epoch 0009 | Loss: 1.0130 | Val: 0.6102 | Test: 0.5946 | Best Test: 0.5946
Epoch 0010 | Loss: 0.9393 | Val: 0.6949 | Test: 0.7027 | Best Test: 0.7027
Epoch 0011 | Loss: 0.9299 | Val: 0.7627 | Test: 0.7297 | Best Test: 0.7297
Epoch 0012 | Loss: 0.8086 | Val: 0.7627 | Test: 0.7568 | Best Test: 0.7568
Epoch 0020 | Loss: 0.4703 | Val: 0.7627 | Test: 0.7568 | Best Test: 0.7568
Epoch 0026 | Loss: 0.2483 | Val: 0.7627 | Test: 0.7568 | Best Test: 0.7568
Epoch 0027 | Loss: 0.2193 | Val: 0.7627 | Test: 0.7568 | Best Test: 0.7568
Epoch 0028 | Loss: 0.2093 | Val: 0.7627 | Test: 0.7568 | Best Test: 0.7568
Epoch 0029 | Loss: 0.1956 | Val: 0.7627 | Test: 0.7838 | Best Test: 0.7838
Epoch 0042 | Loss: 0.0600 | Val: 0.7627 | Test: 0.7838 | Best Test: 0.7838
Epoch 0043 | Loss: 0.0403 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0044 | Loss: 0.0332 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0045 | Loss: 0.0437 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0046 | Loss: 0.0225 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0047 | Loss: 0.0303 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0050 | Loss: 0.0474 | Val: 0.7458 | Test: 0.7568 | Best Test: 0.7838
Epoch 0071 | Loss: 0.0111 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0072 | Loss: 0.0105 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0073 | Loss: 0.0070 | Val: 0.7797 | Test: 0.7838 | Best Test: 0.7838
Epoch 0074 | Loss: 0.0092 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8108
Epoch 0075 | Loss: 0.0081 | Val: 0.7797 | Test: 0.8108 | Best Test: 0.8108
Epoch 0076 | Loss: 0.0095 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0077 | Loss: 0.0098 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0091 | Loss: 0.0103 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0092 | Loss: 0.0058 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0093 | Loss: 0.0048 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0094 | Loss: 0.0082 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0095 | Loss: 0.0079 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0096 | Loss: 0.0044 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0097 | Loss: 0.0062 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0098 | Loss: 0.0062 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0099 | Loss: 0.0102 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0100 | Loss: 0.0082 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
Epoch 0101 | Loss: 0.0049 | Val: 0.7966 | Test: 0.8108 | Best Test: 0.8108
