[repro] started_at=2026-09-12T16:38:07+08:00
[repro] run_id=20260912_163807_webkb_s0_s9_Cornell_pid46751
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Cornell data_id=6 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Cornell -> /home/lab_user/project/lzc/repro/sgpc/data/Cornell
[repro] command=python main.py 6 --split 9 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p46832-i1007.scope; invocation ID: 4781c52b16064960ae1b4b5f3fdb7cc6
[sgpc] config data_id=6 split=9 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6320 | Val: 0.5593 | Test: 0.4324 | Best Test: 0.4324
Epoch 0002 | Loss: 1.4793 | Val: 0.5593 | Test: 0.4324 | Best Test: 0.4324
Epoch 0003 | Loss: 1.3895 | Val: 0.5593 | Test: 0.4324 | Best Test: 0.4324
Epoch 0004 | Loss: 1.3214 | Val: 0.5593 | Test: 0.4595 | Best Test: 0.4595
Epoch 0005 | Loss: 1.2468 | Val: 0.5932 | Test: 0.4865 | Best Test: 0.4865
Epoch 0006 | Loss: 1.2114 | Val: 0.6949 | Test: 0.5676 | Best Test: 0.5676
Epoch 0007 | Loss: 1.1421 | Val: 0.7458 | Test: 0.6486 | Best Test: 0.6486
Epoch 0008 | Loss: 1.0775 | Val: 0.7966 | Test: 0.7027 | Best Test: 0.7027
Epoch 0009 | Loss: 0.9911 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0010 | Loss: 0.9311 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0011 | Loss: 0.8701 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0012 | Loss: 0.7638 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0013 | Loss: 0.7596 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0014 | Loss: 0.7000 | Val: 0.8136 | Test: 0.7027 | Best Test: 0.7297
Epoch 0015 | Loss: 0.6144 | Val: 0.8136 | Test: 0.7027 | Best Test: 0.7297
Epoch 0016 | Loss: 0.5532 | Val: 0.8136 | Test: 0.6757 | Best Test: 0.7297
Epoch 0019 | Loss: 0.4208 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0020 | Loss: 0.4113 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0021 | Loss: 0.3307 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0022 | Loss: 0.2863 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0024 | Loss: 0.2041 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0025 | Loss: 0.2104 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0026 | Loss: 0.1920 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0027 | Loss: 0.1518 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0028 | Loss: 0.1724 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0029 | Loss: 0.1455 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0030 | Loss: 0.1113 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7568
Epoch 0031 | Loss: 0.0886 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7568
Epoch 0042 | Loss: 0.0373 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0043 | Loss: 0.0405 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0044 | Loss: 0.0403 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0045 | Loss: 0.0284 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0046 | Loss: 0.0231 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0047 | Loss: 0.0305 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0048 | Loss: 0.0291 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0049 | Loss: 0.0242 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0050 | Loss: 0.0355 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0051 | Loss: 0.0226 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0052 | Loss: 0.0336 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0054 | Loss: 0.0214 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0055 | Loss: 0.0142 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0056 | Loss: 0.0110 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0057 | Loss: 0.0265 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0058 | Loss: 0.0118 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0059 | Loss: 0.0289 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0060 | Loss: 0.0154 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0061 | Loss: 0.0129 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0062 | Loss: 0.0094 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0063 | Loss: 0.0140 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0064 | Loss: 0.0100 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0065 | Loss: 0.0174 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0066 | Loss: 0.0157 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0067 | Loss: 0.0138 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0068 | Loss: 0.0103 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0069 | Loss: 0.0120 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0070 | Loss: 0.0116 | Val: 0.8136 | Test: 0.7568 | Best Test: 0.7568
Epoch 0071 | Loss: 0.0118 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0072 | Loss: 0.0093 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0073 | Loss: 0.0110 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0074 | Loss: 0.0100 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0075 | Loss: 0.0122 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0076 | Loss: 0.0080 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0077 | Loss: 0.0166 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0078 | Loss: 0.0099 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0079 | Loss: 0.0089 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0080 | Loss: 0.0060 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0081 | Loss: 0.0073 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0082 | Loss: 0.0162 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0083 | Loss: 0.0082 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0084 | Loss: 0.0075 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0085 | Loss: 0.0099 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0086 | Loss: 0.0072 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0087 | Loss: 0.0099 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0088 | Loss: 0.0111 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0089 | Loss: 0.0106 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0090 | Loss: 0.0076 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0091 | Loss: 0.0132 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0092 | Loss: 0.0086 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0093 | Loss: 0.0062 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0094 | Loss: 0.0073 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0095 | Loss: 0.0098 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0096 | Loss: 0.0098 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0097 | Loss: 0.0087 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0098 | Loss: 0.0055 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0099 | Loss: 0.0103 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0100 | Loss: 0.0090 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0101 | Loss: 0.0054 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0102 | Loss: 0.0076 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0103 | Loss: 0.0063 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0104 | Loss: 0.0070 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0105 | Loss: 0.0049 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0106 | Loss: 0.0129 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0107 | Loss: 0.0069 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0108 | Loss: 0.0045 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0109 | Loss: 0.0050 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0110 | Loss: 0.0062 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0111 | Loss: 0.0073 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0112 | Loss: 0.0051 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0113 | Loss: 0.0120 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0114 | Loss: 0.0043 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0115 | Loss: 0.0069 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0116 | Loss: 0.0100 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0117 | Loss: 0.0055 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0118 | Loss: 0.0134 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0119 | Loss: 0.0059 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0120 | Loss: 0.0102 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0121 | Loss: 0.0060 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0122 | Loss: 0.0078 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0123 | Loss: 0.0080 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0124 | Loss: 0.0038 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0125 | Loss: 0.0071 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0126 | Loss: 0.0084 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0127 | Loss: 0.0053 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0128 | Loss: 0.0033 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0129 | Loss: 0.0054 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0130 | Loss: 0.0054 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0131 | Loss: 0.0033 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0132 | Loss: 0.0072 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0133 | Loss: 0.0077 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0134 | Loss: 0.0121 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
Epoch 0135 | Loss: 0.0052 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7568
