[repro] started_at=2026-09-12T16:41:22+08:00
[repro] run_id=20260912_164122_webkb_s0_s4_Texas_pid48587
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Texas data_id=7 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Texas -> /home/lab_user/project/lzc/repro/sgpc/data/Texas
[repro] command=python main.py 7 --split 4 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p48666-i31829.scope; invocation ID: 44071975223d4a548f24eef90881c90b
[sgpc] config data_id=7 split=4 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6532 | Val: 0.6271 | Test: 0.5676 | Best Test: 0.5676
Epoch 0002 | Loss: 1.3850 | Val: 0.6271 | Test: 0.5676 | Best Test: 0.5676
Epoch 0003 | Loss: 1.1895 | Val: 0.6271 | Test: 0.5676 | Best Test: 0.5676
Epoch 0004 | Loss: 1.1758 | Val: 0.6271 | Test: 0.5676 | Best Test: 0.5676
Epoch 0005 | Loss: 1.0896 | Val: 0.6271 | Test: 0.5676 | Best Test: 0.5676
Epoch 0006 | Loss: 1.0940 | Val: 0.6271 | Test: 0.5676 | Best Test: 0.5676
Epoch 0007 | Loss: 1.0090 | Val: 0.6271 | Test: 0.5676 | Best Test: 0.5676
Epoch 0008 | Loss: 0.9877 | Val: 0.7458 | Test: 0.6486 | Best Test: 0.6486
Epoch 0009 | Loss: 0.9062 | Val: 0.7966 | Test: 0.7027 | Best Test: 0.7027
Epoch 0010 | Loss: 0.8843 | Val: 0.8136 | Test: 0.7838 | Best Test: 0.7838
Epoch 0020 | Loss: 0.3344 | Val: 0.8136 | Test: 0.8378 | Best Test: 0.8378
Epoch 0021 | Loss: 0.3459 | Val: 0.8136 | Test: 0.8378 | Best Test: 0.8378
Epoch 0022 | Loss: 0.3592 | Val: 0.8136 | Test: 0.8378 | Best Test: 0.8378
Epoch 0023 | Loss: 0.2824 | Val: 0.8475 | Test: 0.8378 | Best Test: 0.8378
Epoch 0024 | Loss: 0.2243 | Val: 0.8644 | Test: 0.8378 | Best Test: 0.8378
Epoch 0025 | Loss: 0.2347 | Val: 0.8644 | Test: 0.8378 | Best Test: 0.8378
Epoch 0026 | Loss: 0.2229 | Val: 0.8644 | Test: 0.8378 | Best Test: 0.8378
