[repro] started_at=2026-09-12T16:42:33+08:00
[repro] run_id=20260912_164233_webkb_s0_s6_Texas_pid49258
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Texas data_id=7 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Texas -> /home/lab_user/project/lzc/repro/sgpc/data/Texas
[repro] command=python main.py 7 --split 6 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p49335-i71994.scope; invocation ID: 20b8491cfa394a08b7b141cde5956ed9
[sgpc] config data_id=7 split=6 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6830 | Val: 0.5932 | Test: 0.5676 | Best Test: 0.5676
Epoch 0002 | Loss: 1.3479 | Val: 0.5932 | Test: 0.5676 | Best Test: 0.5676
Epoch 0003 | Loss: 1.1627 | Val: 0.5932 | Test: 0.5676 | Best Test: 0.5676
Epoch 0004 | Loss: 1.1125 | Val: 0.5932 | Test: 0.5676 | Best Test: 0.5676
Epoch 0005 | Loss: 1.1075 | Val: 0.5932 | Test: 0.5676 | Best Test: 0.5676
Epoch 0006 | Loss: 1.0340 | Val: 0.5932 | Test: 0.5676 | Best Test: 0.5676
Epoch 0007 | Loss: 0.9707 | Val: 0.6610 | Test: 0.5676 | Best Test: 0.5676
Epoch 0008 | Loss: 0.9331 | Val: 0.7458 | Test: 0.6216 | Best Test: 0.6216
Epoch 0009 | Loss: 0.8619 | Val: 0.7966 | Test: 0.6216 | Best Test: 0.6216
Epoch 0010 | Loss: 0.8310 | Val: 0.7966 | Test: 0.6486 | Best Test: 0.6486
Epoch 0011 | Loss: 0.7634 | Val: 0.8136 | Test: 0.6757 | Best Test: 0.6757
Epoch 0012 | Loss: 0.7150 | Val: 0.8136 | Test: 0.6757 | Best Test: 0.6757
Epoch 0013 | Loss: 0.6581 | Val: 0.8136 | Test: 0.6757 | Best Test: 0.6757
Epoch 0014 | Loss: 0.6106 | Val: 0.8136 | Test: 0.6757 | Best Test: 0.6757
Epoch 0015 | Loss: 0.5112 | Val: 0.8136 | Test: 0.6757 | Best Test: 0.6757
Epoch 0016 | Loss: 0.5093 | Val: 0.8136 | Test: 0.6757 | Best Test: 0.6757
Epoch 0017 | Loss: 0.4698 | Val: 0.8305 | Test: 0.6757 | Best Test: 0.6757
Epoch 0018 | Loss: 0.3883 | Val: 0.8305 | Test: 0.7027 | Best Test: 0.7027
Epoch 0019 | Loss: 0.3547 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0020 | Loss: 0.3506 | Val: 0.8305 | Test: 0.7838 | Best Test: 0.7838
Epoch 0021 | Loss: 0.3078 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7838
Epoch 0022 | Loss: 0.3405 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7838
Epoch 0023 | Loss: 0.2554 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7838
Epoch 0024 | Loss: 0.2138 | Val: 0.8305 | Test: 0.7568 | Best Test: 0.7838
