[repro] started_at=2026-09-12T16:43:06+08:00
[repro] run_id=20260912_164306_webkb_s0_s7_Texas_pid49588
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Texas data_id=7 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Texas -> /home/lab_user/project/lzc/repro/sgpc/data/Texas
[repro] command=python main.py 7 --split 7 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p49661-i31948.scope; invocation ID: b129ed80fd074ad889a905c616aa0541
[sgpc] config data_id=7 split=7 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6571 | Val: 0.6271 | Test: 0.6216 | Best Test: 0.6216
Epoch 0002 | Loss: 1.3837 | Val: 0.6271 | Test: 0.6216 | Best Test: 0.6216
Epoch 0003 | Loss: 1.2275 | Val: 0.6271 | Test: 0.6216 | Best Test: 0.6216
Epoch 0004 | Loss: 1.1720 | Val: 0.6271 | Test: 0.6216 | Best Test: 0.6216
Epoch 0005 | Loss: 1.1078 | Val: 0.6271 | Test: 0.6486 | Best Test: 0.6486
Epoch 0006 | Loss: 1.0732 | Val: 0.6780 | Test: 0.6757 | Best Test: 0.6757
Epoch 0007 | Loss: 0.9504 | Val: 0.7288 | Test: 0.7297 | Best Test: 0.7297
Epoch 0008 | Loss: 0.8893 | Val: 0.7627 | Test: 0.7297 | Best Test: 0.7297
Epoch 0010 | Loss: 0.8041 | Val: 0.7627 | Test: 0.7027 | Best Test: 0.7297
Epoch 0011 | Loss: 0.7366 | Val: 0.7966 | Test: 0.7297 | Best Test: 0.7297
Epoch 0012 | Loss: 0.6147 | Val: 0.8136 | Test: 0.7297 | Best Test: 0.7297
Epoch 0013 | Loss: 0.5801 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0014 | Loss: 0.5500 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0015 | Loss: 0.4564 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0016 | Loss: 0.4278 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0017 | Loss: 0.3744 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0018 | Loss: 0.3360 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0019 | Loss: 0.2996 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0020 | Loss: 0.2875 | Val: 0.8305 | Test: 0.7297 | Best Test: 0.7297
Epoch 0021 | Loss: 0.2207 | Val: 0.8475 | Test: 0.7027 | Best Test: 0.7297
Epoch 0022 | Loss: 0.2359 | Val: 0.8644 | Test: 0.7027 | Best Test: 0.7297
Epoch 0023 | Loss: 0.1845 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0024 | Loss: 0.1596 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0025 | Loss: 0.1506 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0026 | Loss: 0.1094 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0027 | Loss: 0.0856 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0028 | Loss: 0.1056 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0029 | Loss: 0.0854 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0030 | Loss: 0.0818 | Val: 0.8644 | Test: 0.7297 | Best Test: 0.7297
Epoch 0050 | Loss: 0.0073 | Val: 0.8475 | Test: 0.7568 | Best Test: 0.7568
Epoch 0100 | Loss: 0.0043 | Val: 0.8475 | Test: 0.7568 | Best Test: 0.7568
Epoch 0150 | Loss: 0.0020 | Val: 0.8475 | Test: 0.7568 | Best Test: 0.7838
Epoch 0200 | Loss: 0.0042 | Val: 0.8475 | Test: 0.7297 | Best Test: 0.7838
Epoch 0250 | Loss: 0.0014 | Val: 0.8475 | Test: 0.7297 | Best Test: 0.7838
Epoch 0300 | Loss: 0.0033 | Val: 0.8475 | Test: 0.7297 | Best Test: 0.7838
Epoch 0350 | Loss: 0.0203 | Val: 0.8475 | Test: 0.7297 | Best Test: 0.7838
Epoch 0400 | Loss: 0.0182 | Val: 0.8475 | Test: 0.7297 | Best Test: 0.7838
