[repro] started_at=2026-09-12T16:49:41+08:00
[repro] run_id=20260912_164941_webkb_s0_s8_Wisconsin_pid53247
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Wisconsin data_id=8 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Wisconsin -> /home/lab_user/project/lzc/repro/sgpc/data/Wisconsin
[repro] command=python main.py 8 --split 8 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p53346-i77188.scope; invocation ID: b8b37be462da45a6b7995cf31bd0189b
[sgpc] config data_id=8 split=8 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6944 | Val: 0.3875 | Test: 0.4510 | Best Test: 0.4510
Epoch 0002 | Loss: 1.3771 | Val: 0.3875 | Test: 0.4510 | Best Test: 0.4510
Epoch 0003 | Loss: 1.1822 | Val: 0.3875 | Test: 0.4510 | Best Test: 0.4510
Epoch 0004 | Loss: 1.1057 | Val: 0.3875 | Test: 0.4510 | Best Test: 0.4510
Epoch 0005 | Loss: 1.0493 | Val: 0.3875 | Test: 0.4510 | Best Test: 0.4510
Epoch 0006 | Loss: 1.0311 | Val: 0.4750 | Test: 0.5490 | Best Test: 0.5490
Epoch 0007 | Loss: 0.9606 | Val: 0.5875 | Test: 0.6275 | Best Test: 0.6275
Epoch 0008 | Loss: 0.8961 | Val: 0.6500 | Test: 0.6667 | Best Test: 0.6667
Epoch 0009 | Loss: 0.8888 | Val: 0.6750 | Test: 0.6863 | Best Test: 0.6863
Epoch 0010 | Loss: 0.7985 | Val: 0.6750 | Test: 0.7255 | Best Test: 0.7255
Epoch 0011 | Loss: 0.7375 | Val: 0.6750 | Test: 0.7255 | Best Test: 0.7255
Epoch 0012 | Loss: 0.6970 | Val: 0.6750 | Test: 0.7255 | Best Test: 0.7255
Epoch 0013 | Loss: 0.6152 | Val: 0.6750 | Test: 0.7255 | Best Test: 0.7255
Epoch 0014 | Loss: 0.6371 | Val: 0.6875 | Test: 0.7451 | Best Test: 0.7451
Epoch 0015 | Loss: 0.5500 | Val: 0.7125 | Test: 0.7647 | Best Test: 0.7647
Epoch 0016 | Loss: 0.5268 | Val: 0.7125 | Test: 0.7843 | Best Test: 0.7843
Epoch 0017 | Loss: 0.5049 | Val: 0.7375 | Test: 0.7843 | Best Test: 0.7843
Epoch 0018 | Loss: 0.4631 | Val: 0.7500 | Test: 0.8039 | Best Test: 0.8039
Epoch 0019 | Loss: 0.3989 | Val: 0.7500 | Test: 0.8039 | Best Test: 0.8039
Epoch 0020 | Loss: 0.3959 | Val: 0.7500 | Test: 0.8235 | Best Test: 0.8235
Epoch 0021 | Loss: 0.3709 | Val: 0.7500 | Test: 0.8431 | Best Test: 0.8431
Epoch 0022 | Loss: 0.3257 | Val: 0.7500 | Test: 0.8431 | Best Test: 0.8431
Epoch 0023 | Loss: 0.2935 | Val: 0.7500 | Test: 0.8431 | Best Test: 0.8431
Epoch 0024 | Loss: 0.2833 | Val: 0.7875 | Test: 0.8431 | Best Test: 0.8431
Epoch 0025 | Loss: 0.2559 | Val: 0.8000 | Test: 0.8431 | Best Test: 0.8431
Epoch 0026 | Loss: 0.2274 | Val: 0.8000 | Test: 0.8627 | Best Test: 0.8627
Epoch 0027 | Loss: 0.2037 | Val: 0.8000 | Test: 0.8627 | Best Test: 0.8627
Epoch 0028 | Loss: 0.1989 | Val: 0.8125 | Test: 0.8627 | Best Test: 0.8627
Epoch 0029 | Loss: 0.1874 | Val: 0.8125 | Test: 0.8627 | Best Test: 0.8627
Epoch 0030 | Loss: 0.1511 | Val: 0.8125 | Test: 0.8627 | Best Test: 0.8627
Epoch 0031 | Loss: 0.1581 | Val: 0.8125 | Test: 0.8627 | Best Test: 0.8627
Epoch 0032 | Loss: 0.1297 | Val: 0.8125 | Test: 0.8627 | Best Test: 0.8627
Epoch 0050 | Loss: 0.0253 | Val: 0.7875 | Test: 0.8627 | Best Test: 0.8627
Epoch 0100 | Loss: 0.0116 | Val: 0.7875 | Test: 0.8627 | Best Test: 0.8627
