[repro] started_at=2026-09-12T16:50:14+08:00
[repro] run_id=20260912_165014_webkb_s0_s9_Wisconsin_pid53554
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Wisconsin data_id=8 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Wisconsin -> /home/lab_user/project/lzc/repro/sgpc/data/Wisconsin
[repro] command=python main.py 8 --split 9 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p53634-i9733.scope; invocation ID: 237d4bad5fe34bf18abdd7552596da45
[sgpc] config data_id=8 split=9 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6727 | Val: 0.5000 | Test: 0.4902 | Best Test: 0.4902
Epoch 0005 | Loss: 1.0763 | Val: 0.5500 | Test: 0.5686 | Best Test: 0.5686
Epoch 0006 | Loss: 1.0059 | Val: 0.6250 | Test: 0.6863 | Best Test: 0.6863
Epoch 0007 | Loss: 0.9287 | Val: 0.6500 | Test: 0.6863 | Best Test: 0.6863
Epoch 0008 | Loss: 0.8925 | Val: 0.6750 | Test: 0.7059 | Best Test: 0.7059
Epoch 0009 | Loss: 0.8739 | Val: 0.6750 | Test: 0.7059 | Best Test: 0.7059
Epoch 0010 | Loss: 0.7564 | Val: 0.6750 | Test: 0.7059 | Best Test: 0.7059
Epoch 0011 | Loss: 0.7029 | Val: 0.6750 | Test: 0.7255 | Best Test: 0.7255
Epoch 0012 | Loss: 0.6701 | Val: 0.6875 | Test: 0.7059 | Best Test: 0.7255
Epoch 0013 | Loss: 0.6133 | Val: 0.7000 | Test: 0.7059 | Best Test: 0.7255
Epoch 0014 | Loss: 0.5962 | Val: 0.7125 | Test: 0.7451 | Best Test: 0.7451
Epoch 0015 | Loss: 0.5351 | Val: 0.7375 | Test: 0.7451 | Best Test: 0.7451
Epoch 0016 | Loss: 0.5122 | Val: 0.7500 | Test: 0.7647 | Best Test: 0.7647
Epoch 0017 | Loss: 0.4676 | Val: 0.7625 | Test: 0.7647 | Best Test: 0.7647
Epoch 0018 | Loss: 0.4088 | Val: 0.7750 | Test: 0.8039 | Best Test: 0.8039
Epoch 0019 | Loss: 0.3936 | Val: 0.7875 | Test: 0.8039 | Best Test: 0.8039
Epoch 0020 | Loss: 0.3938 | Val: 0.7875 | Test: 0.8039 | Best Test: 0.8039
Epoch 0021 | Loss: 0.3365 | Val: 0.7875 | Test: 0.8235 | Best Test: 0.8235
Epoch 0022 | Loss: 0.2849 | Val: 0.7875 | Test: 0.8235 | Best Test: 0.8235
Epoch 0023 | Loss: 0.2728 | Val: 0.8000 | Test: 0.8235 | Best Test: 0.8235
Epoch 0024 | Loss: 0.2688 | Val: 0.8000 | Test: 0.8235 | Best Test: 0.8235
Epoch 0025 | Loss: 0.2497 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8235
Epoch 0026 | Loss: 0.2348 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8235
Epoch 0027 | Loss: 0.2068 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8235
Epoch 0033 | Loss: 0.1147 | Val: 0.8000 | Test: 0.8235 | Best Test: 0.8235
Epoch 0034 | Loss: 0.1104 | Val: 0.8000 | Test: 0.8431 | Best Test: 0.8431
Epoch 0035 | Loss: 0.0916 | Val: 0.8000 | Test: 0.8431 | Best Test: 0.8431
Epoch 0036 | Loss: 0.0978 | Val: 0.8000 | Test: 0.8431 | Best Test: 0.8431
Epoch 0037 | Loss: 0.0874 | Val: 0.8000 | Test: 0.8235 | Best Test: 0.8431
Epoch 0038 | Loss: 0.0801 | Val: 0.8000 | Test: 0.8235 | Best Test: 0.8431
Epoch 0039 | Loss: 0.0650 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0040 | Loss: 0.0702 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0041 | Loss: 0.0583 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0042 | Loss: 0.0642 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0047 | Loss: 0.0377 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0048 | Loss: 0.0385 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0049 | Loss: 0.0325 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0050 | Loss: 0.0342 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0051 | Loss: 0.0322 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
Epoch 0052 | Loss: 0.0250 | Val: 0.8000 | Test: 0.8039 | Best Test: 0.8431
