[repro] started_at=2026-09-12T17:18:55+08:00
[repro] run_id=20260912_171855_planetoid_s2_Cora_pid66646
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Cora data_id=0 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Cora -> /home/lab_user/project/lzc/repro/sgpc/data/Cora
[repro] command=python main.py 0 --seed 2
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p66724-i72914.scope; invocation ID: b717ac2521c34c8bb628336eadd3c749
[sgpc] config data_id=0 split=0 n_splits=1 seed=2 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 2.4310 | Val: 0.1620 | Test: 0.1490 | Best Test: 0.1490
Epoch 0005 | Loss: 2.2092 | Val: 0.1680 | Test: 0.1640 | Best Test: 0.1640
Epoch 0006 | Loss: 2.2294 | Val: 0.2020 | Test: 0.2000 | Best Test: 0.2000
Epoch 0007 | Loss: 2.2529 | Val: 0.2200 | Test: 0.2110 | Best Test: 0.2110
Epoch 0010 | Loss: 2.2090 | Val: 0.2200 | Test: 0.2090 | Best Test: 0.2180
Epoch 0017 | Loss: 2.0161 | Val: 0.3040 | Test: 0.2780 | Best Test: 0.2780
Epoch 0027 | Loss: 1.9057 | Val: 0.3100 | Test: 0.3110 | Best Test: 0.3110
Epoch 0028 | Loss: 1.9218 | Val: 0.3980 | Test: 0.4190 | Best Test: 0.4190
Epoch 0029 | Loss: 1.9254 | Val: 0.4940 | Test: 0.5040 | Best Test: 0.5040
Epoch 0030 | Loss: 1.8660 | Val: 0.5240 | Test: 0.5210 | Best Test: 0.5210
Epoch 0031 | Loss: 1.8548 | Val: 0.5300 | Test: 0.5160 | Best Test: 0.5210
Epoch 0040 | Loss: 1.7333 | Val: 0.5520 | Test: 0.5510 | Best Test: 0.5510
Epoch 0041 | Loss: 1.7701 | Val: 0.5620 | Test: 0.5730 | Best Test: 0.5730
Epoch 0042 | Loss: 1.6959 | Val: 0.5860 | Test: 0.5830 | Best Test: 0.5830
Epoch 0043 | Loss: 1.6698 | Val: 0.6160 | Test: 0.6230 | Best Test: 0.6230
