[repro] started_at=2026-09-12T17:30:32+08:00
[repro] run_id=20260912_173032_planetoid_s1_Citeseer_pid72160
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Citeseer data_id=1 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Citeseer -> /home/lab_user/project/lzc/repro/sgpc/data/Citeseer
[repro] command=python main.py 1 --seed 1
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p72235-i43775.scope; invocation ID: e2bb36982194407e827642bff864856f
[sgpc] config data_id=1 split=0 n_splits=1 seed=1 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 2.2749 | Val: 0.1380 | Test: 0.1600 | Best Test: 0.1600
Epoch 0002 | Loss: 2.2326 | Val: 0.1380 | Test: 0.1600 | Best Test: 0.1600
Epoch 0003 | Loss: 2.3018 | Val: 0.1380 | Test: 0.1600 | Best Test: 0.1600
Epoch 0004 | Loss: 1.9804 | Val: 0.1880 | Test: 0.1690 | Best Test: 0.1690
Epoch 0005 | Loss: 2.0180 | Val: 0.1880 | Test: 0.1690 | Best Test: 0.1690
Epoch 0006 | Loss: 2.2506 | Val: 0.1880 | Test: 0.1710 | Best Test: 0.1710
Epoch 0007 | Loss: 2.0760 | Val: 0.1880 | Test: 0.1690 | Best Test: 0.1710
Epoch 0008 | Loss: 2.2738 | Val: 0.1880 | Test: 0.1690 | Best Test: 0.1710
Epoch 0009 | Loss: 2.0816 | Val: 0.1880 | Test: 0.1690 | Best Test: 0.1710
Epoch 0010 | Loss: 2.0760 | Val: 0.3780 | Test: 0.3100 | Best Test: 0.3100
Epoch 0050 | Loss: 1.9080 | Val: 0.1420 | Test: 0.1630 | Best Test: 0.3100
Epoch 0095 | Loss: 1.7844 | Val: 0.3800 | Test: 0.3810 | Best Test: 0.3810
Epoch 0096 | Loss: 1.7913 | Val: 0.3940 | Test: 0.4020 | Best Test: 0.4020
Epoch 0100 | Loss: 1.8741 | Val: 0.3500 | Test: 0.3570 | Best Test: 0.4070
Epoch 0105 | Loss: 1.8158 | Val: 0.4060 | Test: 0.4010 | Best Test: 0.4070
Epoch 0106 | Loss: 1.7700 | Val: 0.4360 | Test: 0.4380 | Best Test: 0.4380
Epoch 0107 | Loss: 1.7333 | Val: 0.4600 | Test: 0.4700 | Best Test: 0.4700
Epoch 0108 | Loss: 1.7459 | Val: 0.4720 | Test: 0.4780 | Best Test: 0.4780
Epoch 0109 | Loss: 1.8502 | Val: 0.4840 | Test: 0.4880 | Best Test: 0.4880
Epoch 0112 | Loss: 1.8034 | Val: 0.5040 | Test: 0.4920 | Best Test: 0.4920
Epoch 0116 | Loss: 1.7939 | Val: 0.5240 | Test: 0.5020 | Best Test: 0.5020
Epoch 0117 | Loss: 1.7264 | Val: 0.5460 | Test: 0.5140 | Best Test: 0.5140
Epoch 0118 | Loss: 1.6978 | Val: 0.5460 | Test: 0.5250 | Best Test: 0.5250
Epoch 0119 | Loss: 1.7107 | Val: 0.5680 | Test: 0.5370 | Best Test: 0.5370
Epoch 0121 | Loss: 1.7367 | Val: 0.5680 | Test: 0.5610 | Best Test: 0.5610
Epoch 0122 | Loss: 1.6956 | Val: 0.6000 | Test: 0.5940 | Best Test: 0.5940
Epoch 0123 | Loss: 1.7980 | Val: 0.6300 | Test: 0.6310 | Best Test: 0.6310
Epoch 0124 | Loss: 1.7098 | Val: 0.6560 | Test: 0.6580 | Best Test: 0.6580
Epoch 0125 | Loss: 1.6716 | Val: 0.6780 | Test: 0.6680 | Best Test: 0.6680
