[repro] started_at=2026-09-12T17:41:40+08:00
[repro] run_id=20260912_174140_planetoid_s4_Citeseer_pid78022
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=72952adeb096a5ca61e6e115a0a29e0e484ca577aba23f57b5c11dea083afee7
[repro] main_py_sha256=dc67561acc2c8d0860a4b53c2cdbd729ddaff59fd5b61d50dd1e3a513a6e06ac
[repro] dataset=Citeseer data_id=1 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Citeseer -> /home/lab_user/project/lzc/repro/sgpc/data/Citeseer
[repro] command=python main.py 1 --seed 4
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p78127-i90754.scope; invocation ID: 3aeccb5e522b461d94f8b9389977c1a2
[sgpc] config data_id=1 split=0 n_splits=1 seed=4 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 2.5010 | Val: 0.1720 | Test: 0.1820 | Best Test: 0.1820
Epoch 0002 | Loss: 2.2694 | Val: 0.1720 | Test: 0.1820 | Best Test: 0.1820
Epoch 0003 | Loss: 2.2627 | Val: 0.1720 | Test: 0.1820 | Best Test: 0.1820
Epoch 0004 | Loss: 2.0923 | Val: 0.1980 | Test: 0.2040 | Best Test: 0.2040
Epoch 0018 | Loss: 1.9525 | Val: 0.2380 | Test: 0.2540 | Best Test: 0.2540
Epoch 0019 | Loss: 2.1187 | Val: 0.2620 | Test: 0.2810 | Best Test: 0.2810
Epoch 0020 | Loss: 1.9732 | Val: 0.2800 | Test: 0.2920 | Best Test: 0.2920
Epoch 0023 | Loss: 2.1377 | Val: 0.4160 | Test: 0.3820 | Best Test: 0.3820
Epoch 0050 | Loss: 2.0002 | Val: 0.1520 | Test: 0.1690 | Best Test: 0.3820
Epoch 0087 | Loss: 1.8839 | Val: 0.4340 | Test: 0.4070 | Best Test: 0.4070
Epoch 0088 | Loss: 1.9460 | Val: 0.4360 | Test: 0.4190 | Best Test: 0.4190
Epoch 0090 | Loss: 1.9191 | Val: 0.4360 | Test: 0.4240 | Best Test: 0.4240
Epoch 0100 | Loss: 1.8077 | Val: 0.3960 | Test: 0.3980 | Best Test: 0.4250
Epoch 0112 | Loss: 1.7831 | Val: 0.4360 | Test: 0.4200 | Best Test: 0.4320
