[repro] started_at=2026-09-12T18:10:42+08:00
[repro] run_id=20260912_181042_webkb_s0_s1_Squirrel_pid91600
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=1095ac78920ad815a7d50e91c59b3499d4d3fa591780737b8d7d8a22e48955ef
[repro] main_py_sha256=aeda3a2dc4468512fd23af922ea88d72714355a6d4ffae29efba86c7dea51eb7
[repro] dataset=Squirrel data_id=4 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Squirrel -> /home/lab_user/project/lzc/repro/sgpc/data/Squirrel
[repro] command=python main.py 4 --split 1 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p91687-i127206.scope; invocation ID: 875dab461d1d4e2e9eb36ceaeb75636d
[sgpc] config data_id=4 split=1 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6424 | Val: 0.1869 | Test: 0.2094 | Best Test: 0.2094
Epoch 0002 | Loss: 1.6222 | Val: 0.1935 | Test: 0.2142 | Best Test: 0.2142
Epoch 0003 | Loss: 1.6008 | Val: 0.2446 | Test: 0.2709 | Best Test: 0.2709
Epoch 0004 | Loss: 1.5760 | Val: 0.3101 | Test: 0.3391 | Best Test: 0.3391
Epoch 0005 | Loss: 1.5533 | Val: 0.3329 | Test: 0.3189 | Best Test: 0.3391
Epoch 0007 | Loss: 1.5135 | Val: 0.3329 | Test: 0.3429 | Best Test: 0.3429
Epoch 0008 | Loss: 1.4925 | Val: 0.3329 | Test: 0.3670 | Best Test: 0.3670
Epoch 0009 | Loss: 1.4628 | Val: 0.3407 | Test: 0.3670 | Best Test: 0.3670
Epoch 0010 | Loss: 1.4413 | Val: 0.3450 | Test: 0.3679 | Best Test: 0.3679
Epoch 0012 | Loss: 1.3770 | Val: 0.3516 | Test: 0.3641 | Best Test: 0.3746
Epoch 0013 | Loss: 1.3589 | Val: 0.3528 | Test: 0.3564 | Best Test: 0.3746
Epoch 0014 | Loss: 1.3076 | Val: 0.3558 | Test: 0.3612 | Best Test: 0.3746
Epoch 0017 | Loss: 1.2171 | Val: 0.3570 | Test: 0.3602 | Best Test: 0.3746
Epoch 0050 | Loss: 0.3371 | Val: 0.3227 | Test: 0.3189 | Best Test: 0.3766
Epoch 0100 | Loss: 0.1470 | Val: 0.3065 | Test: 0.3007 | Best Test: 0.3766
Epoch 0150 | Loss: 0.1015 | Val: 0.3047 | Test: 0.3074 | Best Test: 0.3766
Epoch 0200 | Loss: 0.0875 | Val: 0.3041 | Test: 0.3026 | Best Test: 0.3766
Epoch 0250 | Loss: 0.0912 | Val: 0.3065 | Test: 0.2978 | Best Test: 0.3766
Epoch 0300 | Loss: 0.0815 | Val: 0.3071 | Test: 0.2978 | Best Test: 0.3766
Epoch 0350 | Loss: 0.0864 | Val: 0.3095 | Test: 0.2988 | Best Test: 0.3766
Epoch 0400 | Loss: 0.0781 | Val: 0.3089 | Test: 0.2988 | Best Test: 0.3766
Epoch 0450 | Loss: 0.0792 | Val: 0.3095 | Test: 0.2978 | Best Test: 0.3766
Epoch 0500 | Loss: 0.0770 | Val: 0.3083 | Test: 0.2978 | Best Test: 0.3766
Epoch 0550 | Loss: 0.0874 | Val: 0.3089 | Test: 0.2959 | Best Test: 0.3766
Epoch 0600 | Loss: 0.0785 | Val: 0.3083 | Test: 0.2978 | Best Test: 0.3766
Epoch 0650 | Loss: 0.0822 | Val: 0.3089 | Test: 0.2949 | Best Test: 0.3766
Epoch 0700 | Loss: 0.0661 | Val: 0.3101 | Test: 0.2959 | Best Test: 0.3766
Epoch 0750 | Loss: 0.0764 | Val: 0.3095 | Test: 0.2939 | Best Test: 0.3766
Epoch 0800 | Loss: 0.0775 | Val: 0.3107 | Test: 0.2949 | Best Test: 0.3766
Epoch 0850 | Loss: 0.0818 | Val: 0.3095 | Test: 0.2930 | Best Test: 0.3766
Epoch 0900 | Loss: 0.0722 | Val: 0.3095 | Test: 0.2930 | Best Test: 0.3766
Epoch 0950 | Loss: 0.0727 | Val: 0.3107 | Test: 0.2920 | Best Test: 0.3766
