[repro] started_at=2026-09-12T20:14:40+08:00
[repro] run_id=20260912_201440_webkb_s0_s1_Actor_pid144555
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=1095ac78920ad815a7d50e91c59b3499d4d3fa591780737b8d7d8a22e48955ef
[repro] main_py_sha256=aeda3a2dc4468512fd23af922ea88d72714355a6d4ffae29efba86c7dea51eb7
[repro] dataset=Actor data_id=5 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Actor -> /home/lab_user/project/lzc/repro/sgpc/data/Actor
[repro] command=python main.py 5 --split 1 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p144644-i130224.scope; invocation ID: 15f7fbaa071d48b5b6c185c7cfcb46bb
[sgpc] config data_id=5 split=1 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6300 | Val: 0.2636 | Test: 0.2461 | Best Test: 0.2461
Epoch 0002 | Loss: 1.5967 | Val: 0.2640 | Test: 0.2487 | Best Test: 0.2487
Epoch 0003 | Loss: 1.5846 | Val: 0.2664 | Test: 0.2467 | Best Test: 0.2487
Epoch 0004 | Loss: 1.5850 | Val: 0.2743 | Test: 0.2605 | Best Test: 0.2605
Epoch 0005 | Loss: 1.5646 | Val: 0.2903 | Test: 0.2789 | Best Test: 0.2789
Epoch 0006 | Loss: 1.5491 | Val: 0.3100 | Test: 0.2928 | Best Test: 0.2928
Epoch 0007 | Loss: 1.5421 | Val: 0.3104 | Test: 0.2980 | Best Test: 0.2980
Epoch 0008 | Loss: 1.5295 | Val: 0.3133 | Test: 0.3020 | Best Test: 0.3020
Epoch 0009 | Loss: 1.5208 | Val: 0.3207 | Test: 0.3079 | Best Test: 0.3079
Epoch 0010 | Loss: 1.5155 | Val: 0.3220 | Test: 0.3079 | Best Test: 0.3079
Epoch 0011 | Loss: 1.5030 | Val: 0.3244 | Test: 0.3158 | Best Test: 0.3158
Epoch 0012 | Loss: 1.4868 | Val: 0.3269 | Test: 0.3224 | Best Test: 0.3224
Epoch 0013 | Loss: 1.4691 | Val: 0.3380 | Test: 0.3309 | Best Test: 0.3309
Epoch 0014 | Loss: 1.4592 | Val: 0.3438 | Test: 0.3388 | Best Test: 0.3388
