[repro] started_at=2026-09-12T21:35:15+08:00
[repro] run_id=20260912_213515_webkb_s0_s5_Actor_pid157995
[repro] repo_commit=114b585d0d0e32afbf1d7232dd04c013fa8453e2
[repro] tracked_patch_sha256=1095ac78920ad815a7d50e91c59b3499d4d3fa591780737b8d7d8a22e48955ef
[repro] main_py_sha256=aeda3a2dc4468512fd23af922ea88d72714355a6d4ffae29efba86c7dea51eb7
[repro] dataset=Actor data_id=5 env=dtgb cuda_visible_devices=0
[repro] data_link=/tmp/Actor -> /home/lab_user/project/lzc/repro/sgpc/data/Actor
[repro] command=python main.py 5 --split 5 --seed 0
[repro] resource_cap_ratio=85 threads=17 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85
[repro] python=3.10.20 torch=2.2.1+cu121 pyg=2.8.0.post1 torch_sparse=0.6.18+pt22cu121
[repro] cuda=True gpu=NVIDIA GeForce RTX 3090
[cap] cores=17/20 CPUQuota=1700% MemoryMax=55139365888 cuda_fraction=0.85 mps=85 gpu_gov=1
Running as unit: run-p158055-i190063.scope; invocation ID: 3276c626b0b84817b13d3c80edb919da
[sgpc] config data_id=5 split=5 n_splits=10 seed=0 spec=dense max_epochs=2000 pacbayes_epoch=300
Epoch 0001 | Loss: 1.6342 | Val: 0.2525 | Test: 0.2586 | Best Test: 0.2586
Epoch 0002 | Loss: 1.5947 | Val: 0.2529 | Test: 0.2586 | Best Test: 0.2586
Epoch 0003 | Loss: 1.5865 | Val: 0.2545 | Test: 0.2566 | Best Test: 0.2586
Epoch 0004 | Loss: 1.5755 | Val: 0.2706 | Test: 0.2763 | Best Test: 0.2763
Epoch 0005 | Loss: 1.5662 | Val: 0.2726 | Test: 0.2743 | Best Test: 0.2763
Epoch 0006 | Loss: 1.5464 | Val: 0.2780 | Test: 0.2829 | Best Test: 0.2829
Epoch 0007 | Loss: 1.5378 | Val: 0.2870 | Test: 0.2908 | Best Test: 0.2908
Epoch 0008 | Loss: 1.5267 | Val: 0.2981 | Test: 0.2974 | Best Test: 0.2974
Epoch 0009 | Loss: 1.5186 | Val: 0.3043 | Test: 0.3000 | Best Test: 0.3000
Epoch 0011 | Loss: 1.4944 | Val: 0.3055 | Test: 0.3072 | Best Test: 0.3072
Epoch 0012 | Loss: 1.4817 | Val: 0.3096 | Test: 0.3145 | Best Test: 0.3145
Epoch 0013 | Loss: 1.4678 | Val: 0.3166 | Test: 0.3276 | Best Test: 0.3276
Epoch 0014 | Loss: 1.4456 | Val: 0.3178 | Test: 0.3329 | Best Test: 0.3329
Epoch 0015 | Loss: 1.4258 | Val: 0.3310 | Test: 0.3441 | Best Test: 0.3441
