split,run_id,val_selected_epoch,val_selected_test,oracle_best_test,early_stop_epoch,runtime_seconds,exit_code
0,20260912_180118_webkb_s0_s0_Squirrel_pid88209,15,35.35,36.41,1016,560,0
1,20260912_182019_webkb_s0_s1_Squirrel_pid95547,18,37.08,37.66,1019,565,0
2,20260912_182947_webkb_s0_s2_Squirrel_pid100038,15,34.2,35.64,1016,560,0
3,20260912_183911_webkb_s0_s3_Squirrel_pid106197,14,36.22,38.04,1015,561,0
4,20260912_184835_webkb_s0_s4_Squirrel_pid110682,13,36.7,38.42,1014,563,0
5,20260912_185802_webkb_s0_s5_Squirrel_pid114758,15,36.89,36.89,1016,559,0
6,20260912_190725_webkb_s0_s6_Squirrel_pid118261,20,36.02,37.18,1021,563,0
7,20260912_191653_webkb_s0_s7_Squirrel_pid122606,8,37.66,38.62,1009,556,0
8,20260912_192612_webkb_s0_s8_Squirrel_pid126320,17,36.5,37.18,1018,562,0
9,20260912_193538_webkb_s0_s9_Squirrel_pid129739,22,32.66,34.77,1023,565,0
