log,run_id,dataset,commit,patch,split,seed,spec,epochs_printed,last_epoch,early_stop_epoch,best_val,val_selected_epoch,val_selected_test,val_selected_last_epoch,val_selected_last,oracle_best_test,last_printed_test,runtime_seconds,exit_code
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163243_webkb_s0_s0_Cornell_pid43854.log,20260912_163243_webkb_s0_s0_Cornell_pid43854,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,0,dense,55,1048,1048,86.44,47,78.38,48,78.38,81.08,78.38,29,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163316_webkb_s0_s1_Cornell_pid44144.log,20260912_163316_webkb_s0_s1_Cornell_pid44144,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,1,0,dense,63,1039,1039,77.97,38,83.78,77,83.78,86.49,86.49,29,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163349_webkb_s0_s2_Cornell_pid44471.log,20260912_163349_webkb_s0_s2_Cornell_pid44471,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,2,0,dense,364,1012,1012,67.8,11,78.38,1011,83.78,83.78,83.78,28,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163421_webkb_s0_s3_Cornell_pid44733.log,20260912_163421_webkb_s0_s3_Cornell_pid44733,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,3,0,dense,947,1024,1024,74.58,23,75.68,1023,81.08,81.08,81.08,28,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163453_webkb_s0_s4_Cornell_pid45042.log,20260912_163453_webkb_s0_s4_Cornell_pid45042,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,4,0,dense,1037,1158,1158,74.58,157,67.57,1110,70.27,72.97,70.27,33,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163529_webkb_s0_s5_Cornell_pid45343.log,20260912_163529_webkb_s0_s5_Cornell_pid45343,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,5,0,dense,278,1077,1077,79.66,76,81.08,559,83.78,83.78,83.78,31,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163604_webkb_s0_s6_Cornell_pid45682.log,20260912_163604_webkb_s0_s6_Cornell_pid45682,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,6,0,dense,1109,1257,1257,83.05,256,78.38,1256,75.68,78.38,75.68,35,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163642_webkb_s0_s7_Cornell_pid46016.log,20260912_163642_webkb_s0_s7_Cornell_pid46016,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,7,0,dense,110,1040,1040,77.97,39,75.68,120,75.68,81.08,78.38,28,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163714_webkb_s0_s8_Cornell_pid46314.log,20260912_163714_webkb_s0_s8_Cornell_pid46314,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,8,0,dense,1437,1734,1734,77.97,733,81.08,1733,81.08,81.08,81.08,49,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_163807_webkb_s0_s9_Cornell_pid46751.log,20260912_163807_webkb_s0_s9_Cornell_pid46751,Cornell data_id=6 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,9,0,dense,678,1072,1072,83.05,71,75.68,1071,75.68,75.68,75.68,30,0
